date,festival_flag,festival_name
2019-01-26,1,Republic Day
2019-03-04,1,Maha Shivaratri
2019-04-06,1,Ugadi
2019-04-14,1,Dr. B. R. Ambedkar's Jayanti
2019-04-17,1,Mahavir Jayanti
2019-04-19,1,Good Friday
2019-05-18,1,Buddha Purnima
2019-06-05,1,Id-ul-Fitr
2019-08-12,1,Bakrid
2019-08-15,1,Independence Day
2019-08-24,1,Janmashtami
2019-09-10,1,Muharram
2019-10-02,1,Gandhi Jayanti
2019-10-08,1,Dussehra
2019-10-27,1,Diwali
2019-11-01,1,Karnataka Rajyotsava
2019-11-10,1,Milad-un-Nabi
2019-11-12,1,Guru Nanak Jayanti
2019-12-25,1,Christmas
2020-01-26,1,Republic Day
2020-02-21,1,Maha Shivaratri
2020-03-25,1,Ugadi
2020-04-06,1,Mahavir Jayanti
2020-04-10,1,Good Friday
2020-04-14,1,Dr. B. R. Ambedkar's Jayanti
2020-05-07,1,Buddha Purnima
2020-05-25,1,Id-ul-Fitr
2020-08-01,1,Bakrid
2020-08-12,1,Janmashtami
2020-08-15,1,Independence Day
2020-08-30,1,Muharram
2020-10-02,1,Gandhi Jayanti
2020-10-25,1,Dussehra
2020-10-30,1,Milad-un-Nabi
2020-11-01,1,Karnataka Rajyotsava
2020-11-14,1,Diwali
2020-11-30,1,Guru Nanak Jayanti
2020-12-25,1,Christmas
2021-01-26,1,Republic Day
2021-03-11,1,Maha Shivaratri
2021-04-02,1,Good Friday
2021-04-13,1,Ugadi
2021-04-14,1,Dr. B. R. Ambedkar's Jayanti
2021-04-25,1,Mahavir Jayanti
2021-05-14,1,Id-ul-Fitr
2021-05-26,1,Buddha Purnima
2021-07-21,1,Bakrid
2021-08-15,1,Independence Day
2021-08-20,1,Muharram
2021-08-30,1,Janmashtami
2021-10-02,1,Gandhi Jayanti
2021-10-15,1,Dussehra
2021-10-19,1,Milad-un-Nabi
2021-11-01,1,Karnataka Rajyotsava
2021-11-04,1,Diwali
2021-11-19,1,Guru Nanak Jayanti
2021-12-25,1,Christmas
2022-01-26,1,Republic Day
2022-03-01,1,Maha Shivaratri
2022-04-02,1,Ugadi
2022-04-14,1,Dr. B. R. Ambedkar's Jayanti; Mahavir Jayanti
2022-04-15,1,Good Friday
2022-05-03,1,Id-ul-Fitr
2022-05-16,1,Buddha Purnima
2022-07-10,1,Bakrid
