Zone_ID,Mean_Delta_MSI,Median_Delta_MSI,Std_Delta_MSI,Positive_Delta_Rate,Negative_Delta_Rate,Maximum_Positive_Delta,Maximum_Negative_Delta
0,0.00086,0.0,0.389083,0.3885,0.2962,1.385203,-1.385203
1,0.002872,0.0,0.468978,0.379,0.3248,1.627898,-1.627898
2,-0.00141,0.0,0.396922,0.3089,0.2484,1.177898,-1.285985
3,0.003982,0.0,0.467847,0.4331,0.3344,1.450457,-1.434514
4,-0.001094,0.0,0.406598,0.3344,0.2516,1.284514,-1.284514
5,-0.002889,0.0,0.414734,0.414,0.3217,0.942602,-1.134514
6,-7.4e-05,0.0,0.270343,0.3599,0.328,0.86516,-1.065161
7,-0.00072,0.0,0.425452,0.414,0.3376,1.084514,-1.434514
8,0.000159,0.0,0.309926,0.2739,0.2357,1.238303,-1.288303
9,-0.000231,0.0,0.31222,0.2898,0.2484,1.085985,-1.135985
10,0.000711,0.0,0.302364,0.4204,0.3535,0.968783,-1.168783
11,-0.00141,0.0,0.288619,0.2898,0.2484,0.984514,-1.135985
12,-0.001971,0.0,0.303116,0.3694,0.3217,0.968783,-1.318783
13,-8.3e-05,0.0,0.313754,0.3535,0.2962,1.030892,-1.284514
14,-0.00141,0.0,0.295949,0.2898,0.2261,1.018783,-1.085985
15,-0.002278,0.0,0.310006,0.2962,0.2643,1.478587,-1.478587
16,-0.001723,0.0,0.298415,0.2803,0.2516,1.108544,-1.135985
17,0.003623,0.0,0.505526,0.4809,0.3408,1.318783,-1.400457
18,-0.000457,0.0,0.31792,0.2994,0.2643,1.085985,-1.285985
19,0.003982,0.0,0.477106,0.3949,0.3599,1.611384,-1.611384
