Zone_ID,Prediction,Normalized_U,Normalized_D,Risk_Current_Softmax,Risk_Model_Dominant,Risk_Balanced,Rank_Current_Softmax,Rank_Model_Dominant,Rank_Balanced
0,0.15675381,0.0,0.0,0.06367556525571015,0.0940522849559784,0.0627015233039856,11,11,11
1,0.14753126,0.0,0.0,0.05927401718389276,0.08851875364780426,0.05901250243186951,17,17,17
2,0.16026172,0.0,0.0,0.06537190740143231,0.09615703225135804,0.06410468816757202,9,9,9
3,0.17757723,1.0,1.0,0.7516631049982673,0.5065463364124299,0.6710308909416198,1,1,1
4,0.17941964,0.0,0.0,0.07485258307352884,0.10765178203582763,0.07176785469055176,3,3,3
5,0.16482858,0.0,0.0,0.06759867380908396,0.09889715015888213,0.06593143343925477,7,7,7
6,0.14315195,0.0,0.0,0.05721343918185081,0.08589117228984833,0.05726078152656555,20,20,20
7,0.14537413,0.0,0.0,0.0582566653395044,0.08722448050975799,0.058149653673172,18,18,18
8,0.17664993,0.0,0.0,0.07345926567708455,0.10598995685577392,0.07065997123718262,4,4,4
9,0.15221281,0.0,0.0,0.06149779696603953,0.09132768809795379,0.060885125398635866,14,14,14
10,0.18303297,0.0,0.0,0.07668184289922235,0.10981978476047516,0.07321318984031677,2,2,2
11,0.1518086,0.0,0.0,0.06130493796600176,0.0910851627588272,0.06072344183921814,15,15,15
12,0.15370457,0.0,0.0,0.06221095581408431,0.09222274124622344,0.0614818274974823,13,13,13
13,0.16261381,0.0,0.0,0.0665161743359571,0.09756828546524048,0.06504552364349366,8,8,8
14,0.15918618,0.0,0.0,0.06485050380926168,0.0955117106437683,0.06367447376251222,10,10,10
15,0.1648997,0.0,0.0,0.06763351717911004,0.09893982410430908,0.06595988273620605,6,6,6
16,0.14758031,0.0,0.0,0.05929720606690482,0.08854818642139435,0.05903212428092957,16,16,16
17,0.17116316,0.0,0.0,0.0707217710846765,0.10269789397716522,0.06846526265144348,5,5,5
18,0.14362146,0.0,0.0,0.05743344726708037,0.08617287576198578,0.057448583841323855,19,19,19
19,0.15602893,0.0,0.0,0.06332655402665364,0.09361735582351684,0.06241157054901123,12,12,12
