Feature_Name,Correlation_with_Target,Mutual_Information,Permutation_Importance
days_since_last_complaint,-0.0192,0.4217,0.000221
complaint_count,-0.0891,0.3899,2e-05
D,-0.0891,0.3757,0.00025
complaint_velocity,-0.1711,0.2759,0.000221
delta_density,-0.1711,0.2724,0.000232
rolling_avg_density,0.0846,0.2165,0.000234
days_since_last_open_complaint,0.0066,0.2121,0.00022
3_day_complaint_avg,0.0846,0.21,0.000243
neighbor_complaint_avg,0.1911,0.2007,0.00023
resolved_count,-0.1315,0.184,0.000202
temperature,-0.0964,0.171,-0.000344
7_day_complaint_avg,0.1847,0.1525,0.000244
unresolved_count,0.0078,0.1499,0.000179
rainfall,-0.0373,0.1479,-0.000347
humidity,-0.0382,0.1467,-0.000344
U,-0.0022,0.1267,0.000252
month,0.0077,0.115,-0.000332
neighbor_unresolved_avg,0.2018,0.1128,0.000231
7_day_unresolved_avg,0.2132,0.1096,0.000211
hour_of_day,-0.007,0.1029,-0.000315
3_day_unresolved_avg,0.1303,0.0985,0.000215
day_of_week,-0.0118,0.0499,-0.000306
is_weekend,-0.0081,0.0118,-0.000294
is_festival_eve,0.0088,0.0088,-0.000341
festival_flag,0.0062,0.0,-0.000341
