Parameter_Name,Gradient_Norm,Weight_Norm,Update_Ratio
gcn_block.gcn1.linear.weight,0.099201,3.3229,2.985e-05
gcn_block.gcn1.linear.bias,0.006541,0.592,1.105e-05
gcn_block.gcn2.linear.weight,0.121649,3.1969,3.805e-05
gcn_block.gcn2.linear.bias,0.017535,0.6114,2.868e-05
gcn_block.residual_proj.weight,0.368472,3.1835,0.00011574
gcn_block.residual_proj.bias,0.022162,0.6946,3.191e-05
lstm.weight_ih_l0,0.543512,6.555,8.292e-05
lstm.weight_hh_l0,0.051135,9.2329,5.54e-06
lstm.bias_ih_l0,0.049846,1.166,4.275e-05
lstm.bias_hh_l0,0.049846,1.1434,4.36e-05
lstm.weight_ih_l1,0.527159,9.2453,5.702e-05
lstm.weight_hh_l1,0.080825,9.2848,8.71e-06
lstm.bias_ih_l1,0.26704,1.1431,0.00023362
lstm.bias_hh_l1,0.26704,1.1167,0.00023914
layer_norm.weight,0.087173,8.0,1.09e-05
layer_norm.bias,0.045216,0.0,4521.5588063
fc.weight,0.901392,0.5446,0.00165529
fc.bias,0.012971,0.1048,0.00012372
