Zone_ID,Average_MSI,Maximum_MSI,Average_Complaint_Count,Average_Unresolved_Ratio,Average_Growth_Rate,Average_Neighbor_Pressure,Predicted_MSI,Risk_Class
0,0.0877,0.5225,0.1746,0.0709,0.0159,0.123,0.0699,HIGH
1,0.1385,0.7225,0.3016,0.1603,0.0444,0.2593,0.066,HIGH
2,0.0877,0.595,0.1683,0.0762,0.0222,0.1079,0.0699,HIGH
3,0.1265,0.6825,0.2667,0.1381,0.0497,0.2302,0.0701,HIGH
4,0.0831,0.595,0.1746,0.0603,0.0175,0.1058,0.0699,HIGH
5,0.0872,0.595,0.1746,0.0698,0.0095,0.123,0.0705,HIGH
6,0.0648,0.4846,0.1048,0.0127,0.0079,0.134,0.0705,MEDIUM
7,0.0957,0.6164,0.1714,0.0937,0.0143,0.1405,0.0675,HIGH
8,0.0666,0.6536,0.1079,0.0183,0.0175,0.128,0.0708,MEDIUM
9,0.0647,0.5246,0.1079,0.0127,0.0048,0.1312,0.0677,MEDIUM
10,0.0732,0.5018,0.1079,0.019,0.0,0.2102,0.0718,MEDIUM
11,0.0656,0.4961,0.1111,0.0159,0.0063,0.127,0.0712,MEDIUM
12,0.0658,0.5318,0.1079,0.0143,0.0032,0.1397,0.0605,MEDIUM
13,0.0661,0.4889,0.1048,0.0159,0.0032,0.1405,0.0659,MEDIUM
14,0.0655,0.4961,0.1111,0.0159,0.0032,0.127,0.066,MEDIUM
15,0.0653,0.4961,0.1079,0.0143,0.0127,0.1291,0.0717,MEDIUM
16,0.0678,0.4961,0.1079,0.0238,0.0048,0.1291,0.0683,MEDIUM
17,0.1314,0.7682,0.2762,0.1534,0.0418,0.2278,0.0646,HIGH
18,0.0646,0.5246,0.0984,0.0159,0.0,0.1312,0.0702,MEDIUM
19,0.127,0.7964,0.2349,0.1495,0.0302,0.2381,0.0653,HIGH
