Zone_ID,Average_MSI,Maximum_MSI,Average_Complaint_Count,Average_Unresolved_Ratio,Average_Growth_Rate,Average_Neighbor_Pressure,Predicted_MSI,Risk_Class
0,0.0987,1.6753,8.7441,0.6862,0.1892,9.7339,0.194,LOW
1,0.1406,1.7397,9.3186,0.6617,0.1593,10.0982,-0.0099,LOW
2,0.333,2.0456,11.6948,0.6809,0.123,11.5944,0.3599,MEDIUM
3,0.1061,1.7382,8.6153,0.6907,0.1726,10.1088,0.2572,LOW
4,0.1263,1.5963,8.5046,0.6666,0.1933,10.8347,0.2481,LOW
5,0.251,1.8505,11.2816,0.6825,0.1269,10.1024,0.0587,MEDIUM
6,0.2823,1.7958,10.9099,0.6707,0.1311,11.3352,0.3106,MEDIUM
7,0.3562,1.7802,12.0336,0.6671,0.1227,11.9191,0.3573,MEDIUM
8,0.4745,1.7011,15.4827,0.6796,0.0864,11.1635,0.1237,MEDIUM
9,0.3608,1.7932,12.4111,0.6638,0.1153,11.6212,0.4128,MEDIUM
10,0.2205,1.8204,9.9973,0.6763,0.1393,10.9846,0.1622,LOW
11,0.1922,1.6821,10.0521,0.6704,0.1567,10.2686,0.2946,LOW
12,0.2801,1.6613,10.8859,0.6727,0.1335,11.3688,0.3555,MEDIUM
13,0.233,1.6865,10.3008,0.6746,0.1391,10.9479,0.329,MEDIUM
14,-0.1051,1.4911,5.2425,0.6658,0.3352,11.3966,0.2554,LOW
15,0.1485,1.7604,9.8986,0.6597,0.1516,9.5586,0.158,LOW
16,0.1768,1.6092,10.2857,0.6663,0.1331,9.6383,0.2494,LOW
17,0.2519,1.5655,10.5471,0.6546,0.1407,11.2544,0.2092,MEDIUM
18,0.4124,1.9424,15.3995,0.6651,0.0907,9.7964,0.3609,MEDIUM
19,0.0348,1.4942,7.7139,0.6625,0.2009,10.0344,0.2993,LOW
