Zone_ID,Actual_MSI,Predicted_MSI,Absolute_Error,Actual_Rank,Predicted_Rank,Rank_Difference,Model
3,1.4005,0.0816,1.3189,1,10,-9,Model A: GNN+LSTM
19,1.4005,0.035,1.3655,2,20,-18,Model A: GNN+LSTM
17,1.2877,0.0749,1.2128,3,14,-11,Model A: GNN+LSTM
1,0.9019,0.0607,0.8412,4,19,-15,Model A: GNN+LSTM
0,0.5426,0.0814,0.4612,5,11,-6,Model A: GNN+LSTM
10,0.4659,0.0899,0.376,6,5,1,Model A: GNN+LSTM
6,0.4426,0.0974,0.3452,7,3,4,Model A: GNN+LSTM
2,0.1934,0.0783,0.1151,8,13,-5,Model A: GNN+LSTM
8,0.1934,0.1037,0.0897,9,2,7,Model A: GNN+LSTM
9,0.1934,0.0853,0.108,10,8,2,Model A: GNN+LSTM
14,0.1934,0.0856,0.1078,11,7,4,Model A: GNN+LSTM
15,0.1934,0.1176,0.0758,12,1,11,Model A: GNN+LSTM
16,0.1934,0.0934,0.1,13,4,9,Model A: GNN+LSTM
5,0.15,0.0817,0.0683,14,9,5,Model A: GNN+LSTM
7,0.15,0.0718,0.0782,15,16,-1,Model A: GNN+LSTM
13,0.15,0.0619,0.0881,16,18,-2,Model A: GNN+LSTM
4,0.0,0.0748,0.0748,17,15,2,Model A: GNN+LSTM
11,0.0,0.0873,0.0873,18,6,12,Model A: GNN+LSTM
12,0.0,0.065,0.065,19,17,2,Model A: GNN+LSTM
18,0.0,0.0802,0.0802,20,12,8,Model A: GNN+LSTM
3,1.4005,0.0963,1.3042,1,4,-3,Model B: Multi-Task
19,1.4005,0.0995,1.301,2,3,-1,Model B: Multi-Task
17,1.2877,0.0723,1.2154,3,17,-14,Model B: Multi-Task
1,0.9019,0.077,0.8249,4,14,-10,Model B: Multi-Task
0,0.5426,0.0893,0.4533,5,10,-5,Model B: Multi-Task
10,0.4659,0.0885,0.3775,6,11,-5,Model B: Multi-Task
6,0.4426,0.0948,0.3478,7,6,1,Model B: Multi-Task
2,0.1934,0.0917,0.1017,8,7,1,Model B: Multi-Task
8,0.1934,0.1009,0.0925,9,2,7,Model B: Multi-Task
9,0.1934,0.0833,0.1101,10,13,-3,Model B: Multi-Task
14,0.1934,0.0714,0.122,11,18,-7,Model B: Multi-Task
15,0.1934,0.1126,0.0808,12,1,11,Model B: Multi-Task
16,0.1934,0.0882,0.1052,13,12,1,Model B: Multi-Task
5,0.15,0.0909,0.0591,14,9,5,Model B: Multi-Task
7,0.15,0.076,0.074,15,16,-1,Model B: Multi-Task
13,0.15,0.0692,0.0808,16,20,-4,Model B: Multi-Task
4,0.0,0.0762,0.0762,17,15,2,Model B: Multi-Task
11,0.0,0.0955,0.0955,18,5,13,Model B: Multi-Task
12,0.0,0.0698,0.0698,19,19,0,Model B: Multi-Task
18,0.0,0.0915,0.0915,20,8,12,Model B: Multi-Task
3,1.4005,-0.0664,1.4668,1,17,-16,Model C: MT+Delta
19,1.4005,-0.1158,1.5163,2,18,-16,Model C: MT+Delta
17,1.2877,0.1364,1.1513,3,7,-4,Model C: MT+Delta
1,0.9019,0.3997,0.5022,4,2,2,Model C: MT+Delta
0,0.5426,0.4254,0.1172,5,1,4,Model C: MT+Delta
10,0.4659,-0.0039,0.4698,6,13,-7,Model C: MT+Delta
6,0.4426,-0.0043,0.4469,7,14,-7,Model C: MT+Delta
2,0.1934,-0.0061,0.1995,8,15,-7,Model C: MT+Delta
8,0.1934,-0.0026,0.196,9,11,-2,Model C: MT+Delta
9,0.1934,0.1988,0.0054,10,4,6,Model C: MT+Delta
14,0.1934,0.0042,0.1892,11,9,2,Model C: MT+Delta
15,0.1934,0.0021,0.1913,12,10,2,Model C: MT+Delta
16,0.1934,0.199,0.0057,13,3,10,Model C: MT+Delta
5,0.15,-0.2117,0.3617,14,19,-5,Model C: MT+Delta
7,0.15,0.1549,0.0049,15,6,9,Model C: MT+Delta
13,0.15,0.167,0.017,16,5,11,Model C: MT+Delta
4,0.0,-0.2256,0.2256,17,20,-3,Model C: MT+Delta
11,0.0,-0.0078,0.0078,18,16,2,Model C: MT+Delta
12,0.0,0.0161,0.0161,19,8,11,Model C: MT+Delta
18,0.0,-0.0027,0.0027,20,12,8,Model C: MT+Delta
