Zone_ID,Average_MSI,Maximum_MSI,Average_Complaint_Count,Average_Unresolved_Ratio,Average_Growth_Rate,Average_Neighbor_Pressure,Predicted_MSI,Risk_Class
0,0.0944,1.464,8.7352,0.6863,0.1887,10.0237,0.116,LOW
1,0.1312,1.4994,9.3057,0.6619,0.1595,10.2716,0.1048,LOW
2,0.3086,1.8003,11.6795,0.6808,0.123,11.431,0.3006,MEDIUM
3,0.086,1.466,8.5983,0.6905,0.173,10.0158,0.1148,LOW
4,0.1466,1.3671,8.4962,0.6661,0.1938,11.3067,0.1292,LOW
5,0.2101,1.648,11.2648,0.6825,0.1272,9.9642,0.1773,LOW
6,0.2683,1.5765,10.8975,0.6709,0.131,11.3411,0.1806,MEDIUM
7,0.3511,1.5309,12.0127,0.667,0.1226,12.0772,0.3171,MEDIUM
8,0.4401,1.5002,15.4642,0.6798,0.0861,11.3414,0.4456,MEDIUM
9,0.3461,1.6193,12.3917,0.6637,0.1153,11.75,0.4735,MEDIUM
10,0.1947,1.5547,9.9821,0.6765,0.1394,10.7388,0.2299,LOW
11,0.1853,1.467,10.0358,0.6704,0.1567,10.5603,0.2274,LOW
12,0.2451,1.3397,10.8673,0.6727,0.1334,10.935,0.2773,MEDIUM
13,0.2043,1.4614,10.2865,0.6747,0.1394,10.6785,0.2865,LOW
14,-0.1011,1.3302,5.2362,0.6656,0.3359,10.76,-0.0291,LOW
15,0.1352,1.4727,9.882,0.6596,0.1513,9.8749,0.0884,LOW
16,0.1465,1.4288,10.2789,0.6664,0.1333,9.7142,0.2329,LOW
17,0.2707,1.4343,10.5306,0.6544,0.1411,11.8591,0.1967,MEDIUM
18,0.3784,1.6828,15.3845,0.6652,0.0908,10.2993,0.4738,MEDIUM
19,0.0485,1.3295,7.7077,0.6626,0.2015,10.3904,0.1443,LOW
