Capacity,K,Strategy,Recall_Complaints,Recall_Unresolved,Recall_MSI,Recall_HighRisk,Recall_Hotspots,Precision_MSI,Precision_Hotspots,Coverage_Efficiency
5%,1,Random,5.029182879377432,4.9261639048585275,5.5941022255402775,5.386819484240688,4.313725490196078,0.25953517112775115,0.02511415525114155,1.1188204451080555
5%,1,Historical,7.412451361867705,7.531764819556501,10.51457471807382,10.37249283667622,0.0,0.4878176763255802,0.0,2.1029149436147643
5%,1,Reactive,8.561392131431042,9.728328260624506,5.49166392369647,4.297994269340974,1.5686274509803921,0.25478260474137254,0.0091324200913242,1.098332784739294
5%,1,LSTM,3.9245568525724166,3.9325571283636886,13.46856832462696,13.810888252148997,8.627450980392156,0.6248665190669205,0.0502283105022831,2.693713664925392
5%,1,Production MSI,5.444228274967575,6.003510636584698,8.16958313570051,7.564469914040115,5.88235294117647,0.379023133950979,0.03424657534246575,1.633916627140102
10%,2,Random,9.771941201902292,9.70095173679888,9.799879934648478,9.570200573065902,12.549019607843137,0.22732991044195347,0.0365296803652968,0.9799879934648479
10%,2,Historical,14.765456117596196,14.9411404737749,19.841774995324503,19.426934097421203,0.0,0.4602738975146748,0.0,1.9841774995324504
10%,2,Reactive,16.07868568958063,18.10393416751212,10.044126786382677,8.653295128939828,3.9215686274509802,0.2329957568911688,0.01141552511415525,1.0044126786382677
10%,2,LSTM,8.406830955469088,8.398151279449893,24.242234541158847,25.501432664756447,24.705882352941178,0.5623522985898858,0.07191780821917808,2.424223454115885
10%,2,Production MSI,11.106787721573713,12.158397346087572,15.940005176924899,15.300859598853869,14.50980392156863,0.36976370868615055,0.04223744292237443,1.5940005176924898
20%,4,Random,20.036748811067877,20.070212731693964,20.809512207892322,21.14613180515759,24.313725490196077,0.24136135228735262,0.03538812785388128,1.040475610394616
20%,4,Historical,26.503458711629918,26.585825402193343,36.15469887443065,35.12893982808023,54.509803921568626,0.41934414053996943,0.079337899543379,1.8077349437215324
20%,4,Reactive,29.542801556420233,32.66663445899158,18.85690898595032,17.249283667621775,9.019607843137255,0.21871387504615988,0.013127853881278538,0.942845449297516
20%,4,LSTM,18.37116299178556,18.364816335732804,42.04639296189753,43.6676217765043,40.3921568627451,0.4876795843508571,0.05878995433789954,2.1023196480948765
20%,4,Production MSI,22.43839169909209,24.1267694091502,30.931488234858506,29.8567335243553,27.84313725490196,0.35876217347345224,0.04052511415525114,1.5465744117429252
30%,6,Random,29.88651102464332,29.93220284393771,30.531119912138283,31.174785100286535,35.294117647058826,0.236078972450115,0.03424657534246575,1.017703997071276
30%,6,Historical,37.43623000432339,37.56703222377893,48.95195775007399,46.4756446991404,54.509803921568626,0.37851634392436323,0.05289193302891933,1.6317319250024662
30%,6,Reactive,41.49265023778643,45.330692303976036,28.78209388729794,26.4756446991404,16.862745098039216,0.2225547955472999,0.016362252663622526,0.959403129576598
30%,6,LSTM,28.59057501080847,28.605246630271996,56.27287953195979,55.93123209169054,53.72549019607843,0.4351246732823747,0.05213089802130898,1.8757626510653262
30%,6,Production MSI,33.55490704712494,35.707038987390696,44.04134751158288,43.03724928366762,40.0,0.34054551866337784,0.03881278538812785,1.4680449170527625
