Model,Capacity,Future_Stress_Captured,MSI_Recall,Hotspot_Recall,Coverage_Efficiency,Spearman_Ranking_Quality
Model A: Production GNN+LSTM,5%,-703330.5811228807,6.8493150684931505,5.218855218855219,-140666.1162245761,0.17151921847328425
Model A: Production GNN+LSTM,10%,-1572531.0626503138,12.67123287671233,10.69023569023569,-157253.10626503144,0.17151921847328425
Model A: Production GNN+LSTM,20%,-2042137.0786534934,26.769406392694062,28.367003367003363,-102106.85393267467,0.17151921847328425
Model A: Production GNN+LSTM,30%,-2949643.7415997493,38.66057838660577,40.82491582491582,-98321.45805332498,0.17151921847328425
Model B: Historical Baseline + Residual,5%,4354064.887778179,27.85388127853881,12.626262626262626,870812.9775556356,0.47177413061770673
Model B: Historical Baseline + Residual,10%,6829855.619856044,34.93150684931507,21.885521885521882,682985.5619856043,0.47177413061770673
Model B: Historical Baseline + Residual,20%,6675939.403168178,45.31963470319635,39.73063973063973,333796.970158409,0.47177413061770673
Model B: Historical Baseline + Residual,30%,7346010.423499926,53.46270928462709,64.64646464646465,244867.01411666418,0.47177413061770673
Model C: Rolling Baseline + Residual,5%,4273929.823744804,28.310502283105023,13.131313131313131,854785.9647489607,0.4642827181908359
Model C: Rolling Baseline + Residual,10%,6112824.636913134,35.50228310502283,23.232323232323232,611282.4636913133,0.4642827181908359
Model C: Rolling Baseline + Residual,20%,7803985.697009819,45.71917808219178,40.90909090909091,390199.2848504908,0.4642827181908359
Model C: Rolling Baseline + Residual,30%,6764733.295384379,53.082191780821915,60.18518518518518,225491.10984614593,0.4642827181908359
