Seq_Len,Target_Formulation,MAE,RMSE,R2,Pearson,Spearman,Kendall
3,Absolute MSI,0.28100122055426474,0.36025187670161296,0.27037076343815414,0.5206794714762044,0.509844661768255,0.2954869644029222
3,Delta MSI,0.29114494471748803,0.3741641210817258,0.21292882984761996,0.4722292545536648,0.4651150135973031,0.28961248132006856
3,Residual MSI,0.2850350260951729,0.3660400689190704,0.24673640067756086,0.49898711521993655,0.4883517654210434,0.3094426804536535
7,Absolute MSI,0.28405808332977517,0.3665002703175351,0.24484113890258785,0.5004538049317966,0.5000362400197054,0.3090045495761905
7,Delta MSI,0.29363340341568145,0.37851998613726606,0.19449664202588912,0.4609279689587557,0.45691872703287545,0.24246118857323112
7,Residual MSI,0.28194471646455965,0.3625988868240442,0.2608328510031308,0.5116113214781061,0.5072074574513502,0.3107680110856186
14,Absolute MSI,0.281417009004837,0.3622397094826465,0.26088620467521917,0.5117750452086522,0.5033136923916742,0.2881716124741423
14,Delta MSI,0.28934138533979026,0.3718034670074675,0.22134322812752116,0.48175062532696544,0.47902139929936305,0.2676504534059718
14,Residual MSI,0.2782273939508229,0.3584410481813283,0.2763065000785442,0.5262137589305245,0.5222940126699898,0.3280293414614541
21,Absolute MSI,0.27917102263189003,0.3591443041179766,0.2738393814051615,0.5234395662422662,0.5154211747625675,0.31589779318563666
21,Delta MSI,0.29998611505668143,0.3872513752880804,0.15645328909012146,0.4200309173687271,0.42376543343685236,0.22649139736476795
21,Residual MSI,0.27611916273655274,0.35711362430997,0.2820279052679828,0.5312873302377764,0.5259850541108301,0.3271644731336461
30,Absolute MSI,0.2765032455077439,0.35634918932181087,0.28611906855814506,0.5367016879662139,0.5269895112508233,0.31971995800555264
30,Delta MSI,0.2855666981949405,0.36735472161482396,0.24134297478789568,0.4987515887846284,0.4934550685459945,0.2883454988831878
30,Residual MSI,0.28104382500987857,0.36222878705504485,0.2623673112216065,0.5139635668449267,0.5040289918496886,0.3218414506619423
